geo_value,time_value,value,name,state,metric
42019,10/12/20,59.29749904,Butler County,PA,barData
42077,10/12/20,45.85052728,Lehigh County,PA,barData
42079,10/12/20,15.05457283,Luzerne County,PA,barData
42091,10/12/20,41.5435198,Montgomery County,PA,barData
42101,10/12/20,70.29876977,Philadelphia County,PA,barData
42129,10/12/20,15.83614865,Westmoreland County,PA,barData
42133,10/12/20,10.90899174,York County,PA,barData
42003,10/13/20,47.22520039,Allegheny County,PA,barData
42011,10/13/20,57.62581637,Berks County,PA,barData
42019,10/13/20,41.85705815,Butler County,PA,barData
42077,10/13/20,34.38789546,Lehigh County,PA,barData
42079,10/13/20,17.5636683,Luzerne County,PA,barData
42091,10/13/20,45.10439293,Montgomery County,PA,barData
42101,10/13/20,87.87346221,Philadelphia County,PA,barData
42129,10/13/20,12.3170045,Westmoreland County,PA,barData
42133,10/13/20,19.09073554,York County,PA,barData
42003,10/14/20,53.60698422,Allegheny County,PA,barData
42011,10/14/20,89.64015879,Berks County,PA,barData
42019,10/14/20,52.32132268,Butler County,PA,barData
42077,10/14/20,137.5515818,Lehigh County,PA,barData
42079,10/14/20,15.05457283,Luzerne County,PA,barData
42091,10/14/20,47.47830835,Montgomery County,PA,barData
42101,10/14/20,105.4481547,Philadelphia County,PA,barData
42129,10/14/20,24.63400901,Westmoreland County,PA,barData
42133,10/14/20,29.99972728,York County,PA,barData
42003,10/15/20,71.47597897,Allegheny County,PA,barData
42011,10/15/20,70.43155334,Berks County,PA,barData
42019,10/15/20,48.8332345,Butler County,PA,barData
42077,10/15/20,34.38789546,Lehigh County,PA,barData
42079,10/15/20,5.018190942,Luzerne County,PA,barData
42091,10/15/20,55.78701231,Montgomery County,PA,barData
42101,10/15/20,58.58230814,Philadelphia County,PA,barData
42129,10/15/20,14.07657658,Westmoreland County,PA,barData
42133,10/15/20,5.454495868,York County,PA,barData
42003,10/16/20,103.3848981,Allegheny County,PA,barData
42011,10/16/20,128.0573697,Berks County,PA,barData
42019,10/16/20,90.69029265,Butler County,PA,barData
42077,10/16/20,91.70105456,Lehigh County,PA,barData
42079,10/16/20,30.10914565,Luzerne County,PA,barData
42091,10/16/20,73.59137794,Montgomery County,PA,barData
42101,10/16/20,105.4481547,Philadelphia County,PA,barData
42129,10/16/20,17.59572072,Westmoreland County,PA,barData
42133,10/16/20,49.09046281,York County,PA,barData
42003,10/17/20,181.2426609,Allegheny County,PA,barData
42011,10/17/20,192.0860546,Berks County,PA,barData
42019,10/17/20,139.5235272,Butler County,PA,barData
42077,10/17/20,217.7900046,Lehigh County,PA,barData
42079,10/17/20,40.14552754,Luzerne County,PA,barData
42091,10/17/20,125.8175171,Montgomery County,PA,barData
42101,10/17/20,158.172232,Philadelphia County,PA,barData
42129,10/17/20,19.35529279,Westmoreland County,PA,barData
42133,10/17/20,68.18119835,York County,PA,barData
42003,10/18/20,111.0430388,Allegheny County,PA,barData
42011,10/18/20,166.4745806,Berks County,PA,barData
42019,10/18/20,52.32132268,Butler County,PA,barData
42077,10/18/20,206.3273728,Lehigh County,PA,barData
42079,10/18/20,40.14552754,Luzerne County,PA,barData
42091,10/18/20,60.53484314,Montgomery County,PA,barData
42101,10/18/20,58.58230814,Philadelphia County,PA,barData
42129,10/18/20,14.07657658,Westmoreland County,PA,barData
42133,10/18/20,38.18147108,York County,PA,barData
42003,10/19/20,35.73798948,Allegheny County,PA,barData
42011,10/19/20,96.04302728,Berks County,PA,barData
42019,10/19/20,31.39279361,Butler County,PA,barData
42077,10/19/20,91.70105456,Lehigh County,PA,barData
42079,10/19/20,7.527286413,Luzerne County,PA,barData
42091,10/19/20,33.23481584,Montgomery County,PA,barData
42101,10/19/20,82.0152314,Philadelphia County,PA,barData
42129,10/19/20,14.07657658,Westmoreland County,PA,barData
42133,10/19/20,27.27247934,York County,PA,barData
42003,10/20/20,44.67248685,Allegheny County,PA,barData
42011,10/20/20,64.02868485,Berks County,PA,barData
42019,10/20/20,41.85705815,Butler County,PA,barData
42077,10/20/20,103.1636864,Lehigh County,PA,barData
42079,10/20/20,12.54547736,Luzerne County,PA,barData
42091,10/20/20,37.98264668,Montgomery County,PA,barData
42101,10/20/20,58.58230814,Philadelphia County,PA,barData
42129,10/20/20,8.79786036,Westmoreland County,PA,barData
42133,10/20/20,21.81798347,York County,PA,barData
42003,10/21/20,54.88334099,Allegheny County,PA,barData
42011,10/21/20,89.64015879,Berks County,PA,barData
42019,10/21/20,55.80941086,Butler County,PA,barData
42077,10/21/20,68.77579092,Lehigh County,PA,barData
42079,10/21/20,10.03638188,Luzerne County,PA,barData
42091,10/21/20,36.79568897,Montgomery County,PA,barData
42101,10/21/20,123.0228471,Philadelphia County,PA,barData
42129,10/21/20,19.35529279,Westmoreland County,PA,barData
42133,10/21/20,19.09073554,York County,PA,barData
42003,10/22/20,45.94884362,Allegheny County,PA,barData
42011,10/22/20,70.43155334,Berks County,PA,barData
42019,10/22/20,69.76176358,Butler County,PA,barData
42077,10/22/20,149.0142137,Lehigh County,PA,barData
42079,10/22/20,17.5636683,Luzerne County,PA,barData
42091,10/22/20,36.79568897,Montgomery County,PA,barData
42101,10/22/20,76.15700059,Philadelphia County,PA,barData
42129,10/22/20,17.59572072,Westmoreland County,PA,barData
42133,10/22/20,27.27247934,York County,PA,barData
42003,10/23/20,160.8209527,Allegheny County,PA,barData
42011,10/23/20,140.8631067,Berks County,PA,barData
42019,10/23/20,52.32132268,Butler County,PA,barData
42077,10/23/20,171.9394773,Lehigh County,PA,barData
42079,10/23/20,40.14552754,Luzerne County,PA,barData
42091,10/23/20,81.9000819,Montgomery County,PA,barData
42101,10/23/20,123.0228471,Philadelphia County,PA,barData
42129,10/23/20,17.59572072,Westmoreland County,PA,barData
42133,10/23/20,27.27247934,York County,PA,barData
42003,10/24/20,213.1515801,Allegheny County,PA,barData
42011,10/24/20,134.4602382,Berks County,PA,barData
42019,10/24/20,97.66646901,Butler County,PA,barData
42077,10/24/20,91.70105456,Lehigh County,PA,barData
42079,10/24/20,35.1273366,Luzerne County,PA,barData
42091,10/24/20,123.4436017,Montgomery County,PA,barData
42101,10/24/20,134.7393087,Philadelphia County,PA,barData
42129,10/24/20,26.39358108,Westmoreland County,PA,barData
42133,10/24/20,79.09019009,York County,PA,barData
42003,10/25/20,89.34497371,Allegheny County,PA,barData
42011,10/25/20,70.43155334,Berks County,PA,barData
42019,10/25/20,59.29749904,Butler County,PA,barData
42077,10/25/20,114.6263182,Lehigh County,PA,barData
42079,10/25/20,17.5636683,Luzerne County,PA,barData
42091,10/25/20,75.96529336,Montgomery County,PA,barData
42101,10/25/20,99.58992384,Philadelphia County,PA,barData
42129,10/25/20,8.79786036,Westmoreland County,PA,barData
42133,10/25/20,38.18147108,York County,PA,barData
42003,10/26/20,30.63256241,Allegheny County,PA,barData
42011,10/26/20,83.23729031,Berks County,PA,barData
42019,10/26/20,45.34514633,Butler County,PA,barData
42077,10/26/20,45.85052728,Lehigh County,PA,barData
42079,10/26/20,15.05457283,Luzerne County,PA,barData
42091,10/26/20,18.99132334,Montgomery County,PA,barData
42101,10/26/20,70.29876977,Philadelphia County,PA,barData
42129,10/26/20,3.519144144,Westmoreland County,PA,barData
42133,10/26/20,38.18147108,York County,PA,barData
42003,10/27/20,35.73798948,Allegheny County,PA,barData
42011,10/27/20,96.04302728,Berks County,PA,barData
42019,10/27/20,48.8332345,Butler County,PA,barData
42077,10/27/20,126.08895,Lehigh County,PA,barData
42079,10/27/20,25.09095471,Luzerne County,PA,barData
42091,10/27/20,36.79568897,Montgomery County,PA,barData
42101,10/27/20,99.58992384,Philadelphia County,PA,barData
42129,10/27/20,10.55743243,Westmoreland County,PA,barData
42133,10/27/20,24.54523141,York County,PA,barData
42003,10/28/20,48.50155716,Allegheny County,PA,barData
42011,10/28/20,76.83442182,Berks County,PA,barData
42019,10/28/20,41.85705815,Butler County,PA,barData
42077,10/28/20,57.3131591,Lehigh County,PA,barData
42079,10/28/20,12.54547736,Luzerne County,PA,barData
42091,10/28/20,43.91743522,Montgomery County,PA,barData
42101,10/28/20,99.58992384,Philadelphia County,PA,barData
42129,10/28/20,12.3170045,Westmoreland County,PA,barData
42133,10/28/20,27.27247934,York County,PA,barData
42003,10/29/20,35.73798948,Allegheny County,PA,barData
42011,10/29/20,64.02868485,Berks County,PA,barData
42019,10/29/20,66.2736754,Butler County,PA,barData
42077,10/29/20,57.3131591,Lehigh County,PA,barData
42079,10/29/20,7.527286413,Luzerne County,PA,barData
42091,10/29/20,29.67394272,Montgomery County,PA,barData
42101,10/29/20,93.73169303,Philadelphia County,PA,barData
42129,10/29/20,15.83614865,Westmoreland County,PA,barData
42133,10/29/20,35.45422314,York County,PA,barData
42003,10/30/20,90.62133047,Allegheny County,PA,barData
42011,10/30/20,147.2659752,Berks County,PA,barData
42019,10/30/20,76.73793994,Butler County,PA,barData
42077,10/30/20,194.8647409,Lehigh County,PA,barData
42079,10/30/20,15.05457283,Luzerne County,PA,barData
42091,10/30/20,54.6000546,Montgomery County,PA,barData
42101,10/30/20,117.1646163,Philadelphia County,PA,barData
42129,10/30/20,7.038288288,Westmoreland County,PA,barData
42133,10/30/20,49.09046281,York County,PA,barData
42003,10/31/20,67.64690866,Allegheny County,PA,barData
42011,10/31/20,115.2516327,Berks County,PA,barData
42019,10/31/20,76.73793994,Butler County,PA,barData
42077,10/31/20,114.6263182,Lehigh County,PA,barData
42079,10/31/20,50.18190942,Luzerne County,PA,barData
42091,10/31/20,65.28267398,Montgomery County,PA,barData
42101,10/31/20,93.73169303,Philadelphia County,PA,barData
42129,10/31/20,21.11486486,Westmoreland County,PA,barData
42133,10/31/20,40.90871901,York County,PA,barData
42003,11/1/20,62.54148159,Allegheny County,PA,barData
42011,11/1/20,89.64015879,Berks County,PA,barData
42019,11/1/20,66.2736754,Butler County,PA,barData
42077,11/1/20,57.3131591,Lehigh County,PA,barData
42079,11/1/20,15.05457283,Luzerne County,PA,barData
42091,11/1/20,62.90875856,Montgomery County,PA,barData
42101,11/1/20,64.44053896,Philadelphia County,PA,barData
42129,11/1/20,14.07657658,Westmoreland County,PA,barData
42133,11/1/20,13.63623967,York County,PA,barData
42003,11/2/20,109.766682,Allegheny County,PA,barData
42011,11/2/20,83.23729031,Berks County,PA,barData
42019,11/2/20,20.92852907,Butler County,PA,barData
42077,11/2/20,45.85052728,Lehigh County,PA,barData
42079,11/2/20,12.54547736,Luzerne County,PA,barData
42091,11/2/20,34.42177355,Montgomery County,PA,barData
42101,11/2/20,82.0152314,Philadelphia County,PA,barData
42129,11/2/20,7.038288288,Westmoreland County,PA,barData
42133,11/2/20,35.45422314,York County,PA,barData
42003,11/3/20,35.73798948,Allegheny County,PA,barData
42011,11/3/20,70.43155334,Berks County,PA,barData
42019,11/3/20,83.71411629,Butler County,PA,barData
42077,11/3/20,91.70105456,Lehigh County,PA,barData
42079,11/3/20,2.509095471,Luzerne County,PA,barData
42091,11/3/20,41.5435198,Montgomery County,PA,barData
42101,11/3/20,76.15700059,Philadelphia County,PA,barData
42129,11/3/20,12.3170045,Westmoreland County,PA,barData
42133,11/3/20,10.90899174,York County,PA,barData
42003,11/4/20,38.29070302,Allegheny County,PA,barData
42011,11/4/20,57.62581637,Berks County,PA,barData
42019,11/4/20,31.39279361,Butler County,PA,barData
42077,11/4/20,91.70105456,Lehigh County,PA,barData
42079,11/4/20,25.09095471,Luzerne County,PA,barData
42091,11/4/20,46.29135064,Montgomery County,PA,barData
42101,11/4/20,123.0228471,Philadelphia County,PA,barData
42129,11/4/20,10.55743243,Westmoreland County,PA,barData
42133,11/4/20,19.09073554,York County,PA,barData
42003,11/5/20,48.50155716,Allegheny County,PA,barData
42011,11/5/20,83.23729031,Berks County,PA,barData
42019,11/5/20,62.78558722,Butler County,PA,barData
42077,11/5/20,91.70105456,Lehigh County,PA,barData
42079,11/5/20,10.03638188,Luzerne County,PA,barData
42091,11/5/20,48.66526606,Montgomery County,PA,barData
42101,11/5/20,87.87346221,Philadelphia County,PA,barData
42129,11/5/20,10.55743243,Westmoreland County,PA,barData
42133,11/5/20,21.81798347,York County,PA,barData
42003,11/6/20,114.8721091,Allegheny County,PA,barData
42011,11/6/20,96.04302728,Berks County,PA,barData
42019,11/6/20,87.20220447,Butler County,PA,barData
42077,11/6/20,160.4768455,Lehigh County,PA,barData
42079,11/6/20,27.60005018,Luzerne County,PA,barData
42091,11/6/20,75.96529336,Montgomery County,PA,barData
42101,11/6/20,87.87346221,Philadelphia County,PA,barData
42129,11/6/20,14.07657658,Westmoreland County,PA,barData
42133,11/6/20,24.54523141,York County,PA,barData
42003,11/7/20,174.8608771,Allegheny County,PA,barData
42011,11/7/20,236.9061339,Berks County,PA,barData
42019,11/7/20,104.6426454,Butler County,PA,barData
42077,11/7/20,389.7294819,Lehigh County,PA,barData
42079,11/7/20,42.65462301,Luzerne County,PA,barData
42091,11/7/20,86.64791273,Montgomery County,PA,barData
42101,11/7/20,140.5975395,Philadelphia County,PA,barData
42129,11/7/20,33.43186937,Westmoreland County,PA,barData
42133,11/7/20,70.90844629,York County,PA,barData
